Proband;IP;Video;Distancemeasure;total_distance;mean_distance;median_distance;zero-overhead-counter;ref before query (rbq);query berfore ref (qbr);max rbq;max qbr;max distance;min distance
pb1;1;Spot1;euklid;1338223.0147082442;164.86670133155653;94.30865073552557;402;7565;2968;801;-480;523.4948423921661;0.3385580568202901
pb1;1;Spot1;winkel;357733.27207355463;44.0721044811574;10.614148802041003;217;6588;4443;788;-584;179.9501502677837;0.0019685882030899154
pb1;1;Spot1;winkellog;276189.2763131835;34.026028866968524;7.2276320832614775;392;8554;2891;804;-584;178.9828668939213;8.407403537397305e-05
pb1;1;Spot2;euklid;1987419.138216954;211.04588915970626;106.1107544499789;955;1817;10301;383;-2036;559.299432678343;0.3726994766004141
pb1;1;Spot2;winkel;533277.9821549266;56.629285563866055;5.7591121275916235;952;1873;11651;382;-3126;179.9702323324533;0.0021387585381947597
pb1;1;Spot2;winkellog;592067.2187539489;62.87216934840702;9.347415534209336;955;3937;9456;789;-3089;179.9702323324533;4.520768375090747e-05
pb1;1;Spot3;euklid;2352852.808784673;160.60428728905617;92.15227454060432;588;4099;14379;122;-3246;513.5535034157117;0.6305583231168705
pb1;1;Spot3;winkel;787311.1319019569;53.74137419125985;8.681369259957926;599;9838;8541;1023;-760;179.7913017345447;0.00014468377804778988
pb1;1;Spot3;winkellog;739624.7327690092;50.48632988184363;9.552128748225899;603;8390;9129;252;-760;179.79113634445395;6.582430396434582e-07
pb1;1;Spot4;euklid;2683353.2556067104;194.685718320156;84.61792540343912;375;6917;13343;1255;-4586;538.7379554644419;0.41355314972283863
pb1;1;Spot4;winkel;723087.2711227897;52.462255758745535;12.199227689491803;126;18724;3224;3250;-714;179.6612043101263;0.0018730174906315662
pb1;1;Spot4;winkellog;703776.5277983381;51.06120059481521;13.234893508717006;126;10087;12136;1852;-4380;179.84251254401656;1.4255665434739205e-06
pb1;1;Spot5;euklid;3385755.8151869825;210.95051808018582;136.582049346781;897;8995;10490;516;-1732;513.808924494734;1.4804730726369737
pb1;1;Spot5;winkel;833619.2586498684;51.9388946199295;14.606572402365419;1244;8013;14491;700;-2206;179.70239117861976;0.0011201757518271105
pb1;1;Spot5;winkellog;759594.4667259661;47.32675805146206;10.12584815961646;803;8269;14922;700;-2244;179.70239117861976;4.902902142390104e-06
pb1;1;Spot6;euklid;2408800.027211803;197.71813405662013;118.22510921105949;787;9792;4549;904;-708;561.6511123892791;0.39150954159066503
pb1;1;Spot6;winkel;928836.3555167073;76.24036407425982;32.55069067872358;1302;15113;646;1525;-116;179.96366153563488;0.00042823195865568505
pb1;1;Spot6;winkellog;824630.0354473281;67.68694372874728;18.84787342755832;579;16591;0;1524;0;179.5628381416868;1.654021646094883e-05
pb1;1;Spot7;euklid;1630529.05757541;175.00580203664376;91.37105715828224;1375;1648;10023;408;-2030;408.920797831982;1.6907654184177383
pb1;1;Spot7;winkel;782923.4655554388;84.03171252070825;28.429627303907576;40;4086;8987;624;-1460;178.67880413427773;0.002024172900412132
pb1;1;Spot7;winkellog;699121.4529458233;75.03718503228757;10.814550531596387;1285;2550;10223;411;-2686;179.5241501861045;3.044610418971972e-05
pb1;1;Spot8;euklid;2164134.220895968;181.0990979829262;99.634085134182;632;807;17270;255;-3955;499.8486063807622;0.23780297368786765
pb1;1;Spot8;winkel;608185.0585150692;50.894147156072734;16.195089668448883;584;6100;13028;2544;-3969;179.5943076498609;0.00250830226246532
pb1;1;Spot8;winkellog;542913.4788637835;45.432090281488165;13.577526846095255;584;6108;13162;2552;-3988;179.83962609330942;2.1843704601940025e-06
pb1;1;GL1;euklid;3042619.108759875;183.11381251564003;105.0682629012346;341;6256;16599;1117;-3395;572.2856236631234;2.5103736326247756
